time," ti"," te"," tr"," signal"
07-03-2022 13:27:30,"35,8125","28,697102","36","12,565649"
07-03-2022 13:27:31,"35,8125","28,698723","36","-4,08125"
07-03-2022 13:27:33,"35,8125","28,699371","36","-4,0625"
07-03-2022 13:27:34,"35,8125","28,70002","36","-4,04375"
07-03-2022 13:27:35,"35,8125","28,70229","36","-4,025"
07-03-2022 13:27:36,"35,8125","28,704884","36","-4,00625"
07-03-2022 13:27:38,"35,75","28,706181","36","13,305195"
07-03-2022 13:27:39,"35,75","28,705856","36","13,95624"
07-03-2022 13:27:41,"35,6875","28,707478","36","31,895844"
07-03-2022 13:27:42,"35,6875","28,706505","36","15,887489"
07-03-2022 13:27:43,"35,75","28,708775","36","-0,752045"
07-03-2022 13:27:44,"35,75","28,709747","36","-18,01874"
07-03-2022 13:27:46,"35,8125","28,71072","36","-35,908344"
07-03-2022 13:27:47,"35,8125","28,711369","36","-19,849989"
07-03-2022 13:27:48,"35,8125","28,712666","36","-20,45315"
07-03-2022 13:27:49,"35,8125","28,712341","36","-3,76875"
07-03-2022 13:27:51,"35,8125","28,712017","36","-3,75"
07-03-2022 13:27:52,"35,8125","28,712017","36","-3,73125"
07-03-2022 13:27:53,"35,8125","28,709747","36","-3,7125"
07-03-2022 13:27:55,"35,8125","28,709423","36","-3,69375"
07-03-2022 13:27:56,"35,75","28,712017","36","13,617695"
07-03-2022 13:27:57,"35,75","28,71299","36","14,26874"
07-03-2022 13:27:59,"35,75","28,712341","36","14,915649"
07-03-2022 13:28:00,"35,75","28,71299","36","-1,725"
07-03-2022 13:28:01,"35,75","28,712666","36","-1,7"
07-03-2022 13:28:02,"35,75","28,712341","36","-1,675"
07-03-2022 13:28:04,"35,8125","28,713963","36","-18,942694"
07-03-2022 13:28:05,"35,8125","28,713638","36","-19,54999"
07-03-2022 13:28:06,"35,75","28,714287","48","-2,860455"
07-03-2022 13:28:08,"35,75","28,713963","48","100"
07-03-2022 13:28:09,"35,6875","28,713638","48","100"
07-03-2022 13:28:10,"35,6875","28,713314","48","100"
07-03-2022 13:28:12,"35,6875","28,713638","48","100"
07-03-2022 13:28:13,"35,6875","28,712666","48","100"
07-03-2022 13:28:14,"35,8125","28,71299","48","100"
07-03-2022 13:28:15,"35,8125","28,713963","48","100"
07-03-2022 13:28:17,"36","28,714287","48","100"
07-03-2022 13:28:18,"36","28,713314","48","100"
07-03-2022 13:28:19,"36,25","28,712341","48","100"
07-03-2022 13:28:21,"36,25","28,713963","48","100"
07-03-2022 13:28:22,"36,5625","28,714935","48","100"
07-03-2022 13:28:23,"36,5625","28,715584","48","100"
07-03-2022 13:28:25,"36,875","28,716232","48","100"
07-03-2022 13:28:26,"36,875","28,715908","48","100"
07-03-2022 13:28:27,"37,25","28,716883","48","100"
07-03-2022 13:28:28,"37,25","28,717207","48","100"
07-03-2022 13:28:30,"37,625","28,716232","48","100"
07-03-2022 13:28:31,"37,625","28,715908","48","100"
07-03-2022 13:28:32,"38,0625","28,718504","48","100"
07-03-2022 13:28:34,"38,0625","28,717531","48","100"
07-03-2022 13:28:35,"38,5","28,718828","48","70,418739"
07-03-2022 13:28:36,"38,5","28,718504","48","100"
07-03-2022 13:28:38,"39","28,719477","48","39,999962"
07-03-2022 13:28:39,"39","28,720125","48","100"
07-03-2022 13:28:40,"39,5625","28,721422","48","-8,959351"
07-03-2022 13:28:41,"39,5625","28,722395","48","100"
07-03-2022 13:28:43,"40,0625","28,721422","48","-25,209389"
07-03-2022 13:28:44,"40,0625","28,721422","48","100"
07-03-2022 13:28:45,"40,625","28,720449","48","-40,834351"
07-03-2022 13:28:47,"40,625","28,720125","48","86,875"
07-03-2022 13:28:48,"41,125","28,720125","48","-57,084389"
07-03-2022 13:28:49,"41,125","28,719477","48","87,918739"
07-03-2022 13:28:51,"41,5625","28,718828","48","-38,124962"
07-03-2022 13:28:52,"41,5625","28,719152","48","90,831261"
07-03-2022 13:28:53,"42,0625","28,720774","48","-51,875038"
07-03-2022 13:28:54,"42,0625","28,721422","48","59,793739"
07-03-2022 13:28:56,"42,5","28,719477","48","-66,249962"
07-03-2022 13:28:57,"42,5","28,720774","48","62,706261"
07-03-2022 13:28:58,"42,9375","28,722071","48","-62,706261"
07-03-2022 13:29:00,"42,9375","28,721746","48","49,581261"
07-03-2022 13:29:01,"43,375","28,722719","48","-75,831261"
07-03-2022 13:29:02,"43,375","28,723692","48","36,456261"
07-03-2022 13:29:04,"43,75","28,725962","48","-71,665649"
07-03-2022 13:29:05,"43,75","28,725313","48","41,25"
07-03-2022 13:29:06,"44,125","28,723368","48","-66,25"
07-03-2022 13:29:07,"44,125","28,722395","48","30"
07-03-2022 13:29:09,"44,4375","28,722071","48","-60,209389"
07-03-2022 13:29:10,"44,4375","28,720774","48","36,668739"
07-03-2022 13:29:11,"44,75","28,720774","48","-52,918739"
07-03-2022 13:29:13,"44,75","28,721098","48","27,293739"
07-03-2022 13:29:14,"45,125","28,720125","48","-79,584351"
07-03-2022 13:29:15,"45,125","28,721098","48","0"
07-03-2022 13:29:17,"45,375","28,720449","48","-72,915611"
07-03-2022 13:29:18,"45,375","28,720125","48","24,581261"
07-03-2022 13:29:19,"45,4375","28,720774","48","4,793739"
07-03-2022 13:29:20,"45,4375","28,722719","48","70,831261"
07-03-2022 13:29:22,"45,6875","28,725637","48","1,043739"
07-03-2022 13:29:23,"45,6875","28,727259","48","15,206261"
07-03-2022 13:29:24,"46","28,728231","48","-73,750038"
07-03-2022 13:29:25,"46","28,727907","48","-10,206261"
07-03-2022 13:29:27,"46,3125","28,730501","48","-99,793739"
07-03-2022 13:29:28,"46,3125","28,730501","48","-19,581261"
07-03-2022 13:29:30,"46,3125","28,730177","48","-22,709351"
07-03-2022 13:29:31,"46,3125","28,730501","48","60,625"
07-03-2022 13:29:32,"46,3125","28,731474","48","60,625"
07-03-2022 13:29:33,"46,3125","28,730825","48","60,625"
07-03-2022 13:29:35,"46,5625","28,73115","48","-8,540611"
07-03-2022 13:29:36,"46,5625","28,73115","48","-11,043739"
07-03-2022 13:29:37,"46,8125","28,732447","48","-82,706261"
07-03-2022 13:29:38,"46,8125","28,732771","48","-18,543739"
07-03-2022 13:29:40,"46,875","28,733744","48","-38,331261"
07-03-2022 13:29:41,"46,875","28,735041","48","27,706261"
07-03-2022 13:29:43,"46,875","28,734392","48","27,084351"
07-03-2022 13:29:44,"46,875","28,733744","48","43,75"
07-03-2022 13:29:45,"47","28,735041","48","9,165611"
07-03-2022 13:29:46,"47","28,737961","48","7,918739"
07-03-2022 13:29:48,"47,3125","28,738609","48","-79,793739"
07-03-2022 13:29:49,"47,3125","28,738609","48","-49,581261"
07-03-2022 13:29:50,"47,5","28,738285","48","-100"
07-03-2022 13:29:51,"47,5","28,739906","48","-23,125"
07-03-2022 13:29:53,"47,375","28,741852","48","9,584389"
07-03-2022 13:29:54,"47,375","28,742176","48","60,831261"
07-03-2022 13:29:55,"47,3125","28,742176","48","79,374962"
07-03-2022 13:29:57,"47,3125","28,742825","48","46,668739"
07-03-2022 13:29:58,"47,5","28,742825","48","-4,584351"
07-03-2022 13:29:59,"47,5","28,743473","48","-23,125"
07-03-2022 13:30:01,"47,75","28,742176","48","-94,165611"
07-03-2022 13:30:02,"47,75","28,741528","48","-46,668739"
07-03-2022 13:30:03,"47,6875","28,7425","48","-31,875038"
07-03-2022 13:30:04,"47,6875","28,744122","48","35,418739"
07-03-2022 13:30:06,"47,5625","28,745094","48","70,625038"
07-03-2022 13:30:07,"47,5625","28,744122","48","55,206261"
07-03-2022 13:30:08,"47,6875","28,745094","48","21,874962"
07-03-2022 13:30:10,"47,6875","28,745094","48","-12,706261"
07-03-2022 13:30:11,"47,9375","28,745743","48","-83,124962"
07-03-2022 13:30:12,"47,9375","28,746391","48","-52,293739"
07-03-2022 13:30:14,"48","28,747688","48","-72,081261"
07-03-2022 13:30:15,"48","28,746716","48","-6,043739"
07-03-2022 13:30:16,"47,8125","28,746391","48","45,209351"
07-03-2022 13:30:17,"47,8125","28,746067","48","63,75"
07-03-2022 13:30:19,"47,75","28,744122","48","82,915611"
07-03-2022 13:30:20,"47,75","28,746067","48","33,543739"
07-03-2022 13:30:21,"47,9375","28,747688","48","-17,709351"
07-03-2022 13:30:23,"47,9375","28,746716","48","-36,25"
07-03-2022 13:30:24,"48,1875","28,74704","48","-100"
07-03-2022 13:30:25,"48,1875","28,748013","48","-59,80624"
07-03-2022 13:30:27,"48,1875","28,748013","48","-62,321899"
07-03-2022 13:30:28,"48,1875","28,746716","48","4,325"
07-03-2022 13:30:29,"47,9375","28,746391","48","73,480194"
07-03-2022 13:30:30,"47,9375","28,746391","48","75,981239"
07-03-2022 13:30:32,"48","28,748013","48","61,191704"
07-03-2022 13:30:33,"48","28,748661","48","-6,099989"
07-03-2022 13:30:34,"48,25","28,747364","48","-75,895844"
07-03-2022 13:30:36,"48,25","28,747364","48","-61,749989"
07-03-2022 13:30:37,"48,3125","28,74704","48","-81,56459"
07-03-2022 13:30:38,"48,3125","28,747688","48","-15,556239"
07-03-2022 13:30:40,"48,0625","28,748337","48","52,964546"
07-03-2022 13:30:41,"48,0625","28,747364","48","72,118736"
07-03-2022 13:30:42,"48","28,748337","48","91,902092"
07-03-2022 13:30:43,"48","28,74931","48","25,86249"
07-03-2022 13:30:45,"48,1875","28,752228","48","-25,396851"
07-03-2022 13:30:46,"48,1875","28,752876","48","-43,950001"
07-03-2022 13:30:47,"48,4375","28,752876","48","-100"
07-03-2022 13:30:49,"48,4375","28,752876","48","-67,556236"
07-03-2022 13:30:50,"48,4375","28,751904","48","-70,096901"
07-03-2022 13:30:51,"48,4375","28,750607","48","-3,475"
07-03-2022 13:30:53,"48,125","28,749634","48","82,951057"
07-03-2022 13:30:54,"48,125","28,748985","48","86,050011"
07-03-2022 13:30:55,"48,0625","28,750931","48","100"
07-03-2022 13:30:56,"48,0625","28,752228","48","23,74374"
07-03-2022 13:30:58,"48,3125","28,753849","48","-44,814545"
07-03-2022 13:30:59,"48,3125","28,752228","48","-64,006241"
07-03-2022 13:31:00,"48,5","28,753525","48","-100"
07-03-2022 13:31:02,"48,5","28,752228","48","-53,668751"
07-03-2022 13:31:03,"48,375","28,751255","48","-21,005194"
07-03-2022 13:31:04,"48,375","28,749634","48","30,20001"
07-03-2022 13:31:06,"48,25","28,748013","48","66,004158"
07-03-2022 13:31:07,"48,25","28,748013","48","33,887512"
07-03-2022 13:31:08,"48,375","28,748337","48","0,527045"
07-03-2022 13:31:09,"48,375","28,747364","48","-34,087509"
07-03-2022 13:31:11,"48,5625","28,748661","48","-87,259354"
07-03-2022 13:31:12,"48,5625","28,747688","48","-55,849998"
07-03-2022 13:31:13,"48,625","28,748013","48","-75,073944"
07-03-2022 13:31:15,"48,625","28,748661","48","-25,762489"
07-03-2022 13:31:16,"48,4375","28,750607","48","25,434351"
07-03-2022 13:31:17,"48,4375","28,751579","48","43,924999"
07-03-2022 13:31:19,"48,375","28,752228","48","63,048943"
07-03-2022 13:31:20,"48,375","28,751579","48","13,637489"
07-03-2022 13:31:21,"48,5625","28,753525","48","-37,659351"
07-03-2022 13:31:22,"48,5625","28,754498","48","-56,25"
07-03-2022 13:31:24,"48,75","28,756767","48","-100"
07-03-2022 13:31:25,"48,75","28,758064","48","-62,006248"
07-03-2022 13:31:26,"48,625","28,758389","48","-29,367695"
07-03-2022 13:31:28,"48,625","28,759363","48","21,812511"
07-03-2022 13:31:29,"48,375","28,761633","48","92,177048"
07-03-2022 13:31:30,"48,375","28,761309","48","61,299988"
07-03-2022 13:31:32,"48,4375","28,761633","48","46,466705"
07-03-2022 13:31:33,"48,4375","28,761633","48","-20,86874"
07-03-2022 13:31:34,"48,625","28,762606","48","-73,415649"
07-03-2022 13:31:35,"48,625","28,76293","48","-58,681252"
07-03-2022 13:31:37,"48,6875","28,762606","48","-77,911446"
07-03-2022 13:31:38,"48,6875","28,762606","48","-28,606239"
07-03-2022 13:31:39,"48,4375","28,764875","48","39,877045"
07-03-2022 13:31:41,"48,4375","28,764227","48","58,99374"
07-03-2022 13:31:42,"48,375","28,763254","48","78,739594"
07-03-2022 13:31:43,"48,375","28,763254","48","12,662489"
07-03-2022 13:31:45,"48,5","28,763903","48","-21,341656"
07-03-2022 13:31:46,"48,5","28,766172","48","-39,300011"
07-03-2022 13:31:47,"48,75","28,766172","48","-100"
07-03-2022 13:31:48,"48,75","28,765848","48","-79,012489"
07-03-2022 13:31:50,"48,625","28,767794","48","-46,995842"
07-03-2022 13:31:51,"48,625","28,769415","48","20,85001"
07-03-2022 13:31:52,"48,375","28,767794","48","91,214546"
07-03-2022 13:31:54,"48,375","28,768118","48","60,33749"
07-03-2022 13:31:55,"48,375","28,768118","48","62,796898"
07-03-2022 13:31:56,"48,375","28,768442","48","-3,90625"
07-03-2022 13:31:58,"48,625","28,769739","48","-73,117691"
07-03-2022 13:31:59,"48,625","28,770712","48","-75,674988"
